ranking,seccion_censal,SEED_score,latitud,longitud,nombre_provincia,f_of_m,density,dependence,rent,saturation,score_demanda,score_renta,saturation_norm
1,1503003001,0.8378634415104289,43.366469,-8.406278,A Coruña,0.0979315543302456,0.044,0.0172159167842947,74388.5,0.0768524155905192,0.6760149893424057,0.9899068383314459,0.9179597398251194
2,3501602037,0.8317850379741469,28.11306,-15.417507,Las Palmas,0.108307779258446,0.158,0.0147942146691309,71374.5,0.067237572757075,0.6523103377374145,0.9862767253811745,0.9582313055989367
3,3605709011,0.8276802124554766,42.18948,-8.806053,Pontevedra,0.11211998318778,0.842,0.0172159167842947,71097.0,0.0771163926186544,0.6624160245479338,0.9801622244117325,0.9168540776280893
4,2006906001,0.8183880022887455,43.313908,-1.991178,Gipuzkoa,0.0963227807062949,0.269,0.0168654553108343,72275.0,0.113768470496135,0.6756591722135158,0.9996018276309595,0.7633376249351969
5,4625001009,0.8182923311069862,39.474076,-0.368655,Valencia,0.10023032832734,0.121,0.0183703963790628,75944.0,0.104018611386736,0.68030386012499,0.9788234713053023,0.8041747035241312
6,5100101001,0.8179777818130634,35.888457,-5.315988,Ceuta,0.121244196511597,0.153,0.00773951866555148,71770.0,0.0572652902220491,0.5999832407232931,0.9949633087189536,1.0
7,2906702017,0.8149996354553529,36.738658,-4.359934,Málaga,0.139632260788246,1.082,0.0183908775864993,71882.0,0.0939119007303697,0.6423483119585659,0.9974173199598129,0.8465064472671537
8,1505801005,0.8093802442698275,43.320926,-8.345831,A Coruña,0.116170533015149,1.84,0.0172159167842947,80289.5,0.0768524155905192,0.658721525463674,0.9381539920935156,0.9179597398251194
9,4620501009,0.8034751890955014,39.633583,-0.340588,Valencia,0.145263429684384,1.905,0.0183703963790628,74286.0,0.104018611386736,0.6369591225521353,0.9905434460460522,0.8041747035241312
10,3501601047,0.8013621621112725,28.052848,-15.463372,Las Palmas,0.12534991403389,0.823,0.0147942146691309,68790.0,0.067237572757075,0.6359046706420145,0.928675911206314,0.9582313055989367
11,2807904081,0.7963784087935476,40.441874,-3.665165,Madrid,0.0957033665811577,0.049,0.0166326211245886,72972.0,0.146826404230381,0.6748958114498333,0.997360045750255,0.6248751689401373
12,801905056,0.7957276111045706,41.393555,2.137681,Barcelona,0.102961050182445,0.068,0.0152175049933263,72032.5,0.138771432139735,0.6598713266613916,0.9999838168503564,0.6586132491120118
13,4802006002,0.7938529996389151,43.268221,-2.936413,Bizkaia,0.101854614653396,0.208,0.0168654553108343,71125.5,0.136981228155452,0.6702664369993521,0.9807909522395993,0.6661114806224459
14,4109105048,0.7930975421226918,37.366351,-5.979322,Sevilla,0.14657631935692,0.14,0.0183908775864993,70175.0,0.0997773864504768,0.6353678738652371,0.9597278780461892,0.8219389844323957
15,4804403013,0.7913275341289643,43.329466,-3.01145,Bizkaia,0.111181880273205,0.104,0.0168654553108343,75162.0,0.136981228155452,0.6611734270227363,0.9847069246884151,0.6661114806224459
16,1402106042,0.7909455325722398,37.915057,-4.806447,Córdoba,0.13713490169624,0.974,0.0183908775864993,77297.5,0.114819108047099,0.6447498306659519,0.9674188775128815,0.7589370517827252
17,704002067,0.7899226092928433,39.572839,2.600793,Baleares,0.158031994143556,3.346,0.0129811561387476,71886.0,0.0996332995240696,0.5945317105227169,0.9975049153409221,0.8225424894750129
18,2802201005,0.7889519844420487,40.418241,-3.904466,Madrid,0.114187441730186,0.968,0.0166326211245886,72587.5,0.146826404230381,0.657150262762574,0.9987577271446746,0.6248751689401373
19,2808002004,0.7870729242130865,40.47274,-3.864774,Madrid,0.117622821764983,0.195,0.0166326211245886,72799.5,0.146826404230381,0.65362204610083,0.9980293203167311,0.6248751689401373
20,4613504001,0.7852976772383126,39.541136,-0.432812,Valencia,0.122800815971841,5.834,0.0183703963790628,68382.5,0.104018611386736,0.6597544024538468,0.9194549765136546,0.8041747035241312
